interacting_pair	variable	pvalue	mean	part1	part2	tissue	Type1	Type2	Type	cell1	cell2
40	ACE2_GHRL	CD4_Th1.Fib	1	0	CD4_Th1	Fib	Bladder_cDNA	CD4_Th1	Fib	CD4_Fib	CD4	Fib
41	ACE2_GHRL	CD4_Th1.FibSmo	1	0	CD4_Th1	FibSmo	Bladder_cDNA	CD4_Th1	FibSmo	CD4_FibSmo	CD4	FibSmo
42	ACE2_GHRL	CD4_Th1.Mac	1	0	CD4_Th1	Mac	Bladder_cDNA	CD4_Th1	Mac	CD4_Myeloid	CD4	Myeloid
43	ACE2_GHRL	CD4_Th1.Mon	1	0	CD4_Th1	Mon	Bladder_cDNA	CD4_Th1	Mon	CD4_Myeloid	CD4	Myeloid
44	ACE2_GHRL	CD4_Th1.NK	1	0	CD4_Th1	NK	Bladder_cDNA	CD4_Th1	NK	CD4_NK	CD4	NK
45	ACE2_GHRL	CD4_Th1.Smo	1	0	CD4_Th1	Smo	Bladder_cDNA	CD4_Th1	Smo	CD4_Smo	CD4	Smo
46	ACE2_GHRL	CD4_TRM.BEC	1	0	CD4_TRM	BEC	Bladder_cDNA	CD4_TRM	BEC	CD4_Endo	CD4	Endo
47	ACE2_GHRL	CD4_TRM.CD4_TCM	1	0	CD4_TRM	CD4_TCM	Bladder_cDNA	CD4_TRM	CD4_TCM	CD4_CD4	CD4	CD4
48	ACE2_GHRL	CD4_TRM.CD4_Th1	1	0	CD4_TRM	CD4_Th1	Bladder_cDNA	CD4_TRM	CD4_Th1	CD4_CD4	CD4	CD4
49	ACE2_GHRL	CD4_TRM.CD4_TRM	1	0	CD4_TRM	CD4_TRM	Bladder_cDNA	CD4_TRM	CD4_TRM	CD4_CD4	CD4	CD4
50	ACE2_GHRL	CD4_TRM.CD8_TEFF	1	0	CD4_TRM	CD8_TEFF	Bladder_cDNA	CD4_TRM	CD8_TEFF	CD4_CD8	CD4	CD8
51	ACE2_GHRL	CD4_TRM.CD8_TEM	1	0	CD4_TRM	CD8_TEM	Bladder_cDNA	CD4_TRM	CD8_TEM	CD4_CD8	CD4	CD8
52	ACE2_GHRL	CD4_TRM.CD8_TRM	1	0	CD4_TRM	CD8_TRM	Bladder_cDNA	CD4_TRM	CD8_TRM	CD4_CD8	CD4	CD8
53	ACE2_GHRL	CD4_TRM.DC	1	0	CD4_TRM	DC	Bladder_cDNA	CD4_TRM	DC	CD4_Myeloid	CD4	Myeloid
54	ACE2_GHRL	CD4_TRM.Epi_FABP4	1	0	CD4_TRM	Epi_FABP4	Bladder_cDNA	CD4_TRM	Epi	CD4_Epi	CD4	Epi
55	ACE2_GHRL	CD4_TRM.Fib	1	0	CD4_TRM	Fib	Bladder_cDNA	CD4_TRM	Fib	CD4_Fib	CD4	Fib
56	ACE2_GHRL	CD4_TRM.FibSmo	1	0	CD4_TRM	FibSmo	Bladder_cDNA	CD4_TRM	FibSmo	CD4_FibSmo	CD4	FibSmo
57	ACE2_GHRL	CD4_TRM.Mac	1	0	CD4_TRM	Mac	Bladder_cDNA	CD4_TRM	Mac	CD4_Myeloid	CD4	Myeloid
58	ACE2_GHRL	CD4_TRM.Mon	1	0	CD4_TRM	Mon	Bladder_cDNA	CD4_TRM	Mon	CD4_Myeloid	CD4	Myeloid
59	ACE2_GHRL	CD4_TRM.NK	1	0	CD4_TRM	NK	Bladder_cDNA	CD4_TRM	NK	CD4_NK	CD4	NK
60	ACE2_GHRL	CD4_TRM.Smo	1	0	CD4_TRM	Smo	Bladder_cDNA	CD4_TRM	Smo	CD4_Smo	CD4	Smo
61	ACE2_GHRL	CD8_TEFF.BEC	1	0	CD8_TEFF	BEC	Bladder_cDNA	CD8_TEFF	BEC	CD8_Endo	CD8	Endo
62	ACE2_GHRL	CD8_TEFF.CD4_TCM	1	0	CD8_TEFF	CD4_TCM	Bladder_cDNA	CD8_TEFF	CD4_TCM	CD8_CD4	CD8	CD4
63	ACE2_GHRL	CD8_TEFF.CD4_Th1	1	0	CD8_TEFF	CD4_Th1	Bladder_cDNA	CD8_TEFF	CD4_Th1	CD8_CD4	CD8	CD4
64	ACE2_GHRL	CD8_TEFF.CD4_TRM	1	0	CD8_TEFF	CD4_TRM	Bladder_cDNA	CD8_TEFF	CD4_TRM	CD8_CD4	CD8	CD4
65	ACE2_GHRL	CD8_TEFF.CD8_TEFF	1	0	CD8_TEFF	CD8_TEFF	Bladder_cDNA	CD8_TEFF	CD8_TEFF	CD8_CD8	CD8	CD8
66	ACE2_GHRL	CD8_TEFF.CD8_TEM	1	0	CD8_TEFF	CD8_TEM	Bladder_cDNA	CD8_TEFF	CD8_TEM	CD8_CD8	CD8	CD8
67	ACE2_GHRL	CD8_TEFF.CD8_TRM	1	0	CD8_TEFF	CD8_TRM	Bladder_cDNA	CD8_TEFF	CD8_TRM	CD8_CD8	CD8	CD8
68	ACE2_GHRL	CD8_TEFF.DC	1	0	CD8_TEFF	DC	Bladder_cDNA	CD8_TEFF	DC	CD8_Myeloid	CD8	Myeloid
69	ACE2_GHRL	CD8_TEFF.Epi_FABP4	1	0	CD8_TEFF	Epi_FABP4	Bladder_cDNA	CD8_TEFF	Epi	CD8_Epi	CD8	Epi
70	ACE2_GHRL	CD8_TEFF.Fib	1	0	CD8_TEFF	Fib	Bladder_cDNA	CD8_TEFF	Fib	CD8_Fib	CD8	Fib
71	ACE2_GHRL	CD8_TEFF.FibSmo	1	0	CD8_TEFF	FibSmo	Bladder_cDNA	CD8_TEFF	FibSmo	CD8_FibSmo	CD8	FibSmo
72	ACE2_GHRL	CD8_TEFF.Mac	1	0	CD8_TEFF	Mac	Bladder_cDNA	CD8_TEFF	Mac	CD8_Myeloid	CD8	Myeloid
73	ACE2_GHRL	CD8_TEFF.Mon	1	0	CD8_TEFF	Mon	Bladder_cDNA	CD8_TEFF	Mon	CD8_Myeloid	CD8	Myeloid
74	ACE2_GHRL	CD8_TEFF.NK	1	0	CD8_TEFF	NK	Bladder_cDNA	CD8_TEFF	NK	CD8_NK	CD8	NK
75	ACE2_GHRL	CD8_TEFF.Smo	1	0	CD8_TEFF	Smo	Bladder_cDNA	CD8_TEFF	Smo	CD8_Smo	CD8	Smo
76	ACE2_GHRL	CD8_TEM.BEC	1	0	CD8_TEM	BEC	Bladder_cDNA	CD8_TEM	BEC	CD8_Endo	CD8	Endo
77	ACE2_GHRL	CD8_TEM.CD4_TCM	1	0	CD8_TEM	CD4_TCM	Bladder_cDNA	CD8_TEM	CD4_TCM	CD8_CD4	CD8	CD4
78	ACE2_GHRL	CD8_TEM.CD4_Th1	1	0	CD8_TEM	CD4_Th1	Bladder_cDNA	CD8_TEM	CD4_Th1	CD8_CD4	CD8	CD4
79	ACE2_GHRL	CD8_TEM.CD4_TRM	1	0	CD8_TEM	CD4_TRM	Bladder_cDNA	CD8_TEM	CD4_TRM	CD8_CD4	CD8	CD4
80	ACE2_GHRL	CD8_TEM.CD8_TEFF	1	0	CD8_TEM	CD8_TEFF	Bladder_cDNA	CD8_TEM	CD8_TEFF	CD8_CD8	CD8	CD8
81	ACE2_GHRL	CD8_TEM.CD8_TEM	1	0	CD8_TEM	CD8_TEM	Bladder_cDNA	CD8_TEM	CD8_TEM	CD8_CD8	CD8	CD8
82	ACE2_GHRL	CD8_TEM.CD8_TRM	1	0	CD8_TEM	CD8_TRM	Bladder_cDNA	CD8_TEM	CD8_TRM	CD8_CD8	CD8	CD8
83	ACE2_GHRL	CD8_TEM.DC	1	0	CD8_TEM	DC	Bladder_cDNA	CD8_TEM	DC	CD8_Myeloid	CD8	Myeloid
84	ACE2_GHRL	CD8_TEM.Epi_FABP4	1	0	CD8_TEM	Epi_FABP4	Bladder_cDNA	CD8_TEM	Epi	CD8_Epi	CD8	Epi
85	ACE2_GHRL	CD8_TEM.Fib	1	0	CD8_TEM	Fib	Bladder_cDNA	CD8_TEM	Fib	CD8_Fib	CD8	Fib
86	ACE2_GHRL	CD8_TEM.FibSmo	1	0	CD8_TEM	FibSmo	Bladder_cDNA	CD8_TEM	FibSmo	CD8_FibSmo	CD8	FibSmo
87	ACE2_GHRL	CD8_TEM.Mac	1	0	CD8_TEM	Mac	Bladder_cDNA	CD8_TEM	Mac	CD8_Myeloid	CD8	Myeloid
88	ACE2_GHRL	CD8_TEM.Mon	1	0	CD8_TEM	Mon	Bladder_cDNA	CD8_TEM	Mon	CD8_Myeloid	CD8	Myeloid
89	ACE2_GHRL	CD8_TEM.NK	1	0	CD8_TEM	NK	Bladder_cDNA	CD8_TEM	NK	CD8_NK	CD8	NK
90	ACE2_GHRL	CD8_TEM.Smo	1	0	CD8_TEM	Smo	Bladder_cDNA	CD8_TEM	Smo	CD8_Smo	CD8	Smo
91	ACE2_GHRL	CD8_TRM.BEC	1	0	CD8_TRM	BEC	Bladder_cDNA	CD8_TRM	BEC	CD8_Endo	CD8	Endo
92	ACE2_GHRL	CD8_TRM.CD4_TCM	1	0	CD8_TRM	CD4_TCM	Bladder_cDNA	CD8_TRM	CD4_TCM	CD8_CD4	CD8	CD4
93	ACE2_GHRL	CD8_TRM.CD4_Th1	1	0	CD8_TRM	CD4_Th1	Bladder_cDNA	CD8_TRM	CD4_Th1	CD8_CD4	CD8	CD4
94	ACE2_GHRL	CD8_TRM.CD4_TRM	1	0	CD8_TRM	CD4_TRM	Bladder_cDNA	CD8_TRM	CD4_TRM	CD8_CD4	CD8	CD4
95	ACE2_GHRL	CD8_TRM.CD8_TEFF	1	0	CD8_TRM	CD8_TEFF	Bladder_cDNA	CD8_TRM	CD8_TEFF	CD8_CD8	CD8	CD8
