,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster,cell type
350,0.00E+00,0.603529337,0.204,0.006,0.00E+00,CLNK,7,TRDV2_¦Ã¦Ä
351,0.00E+00,1.415218483,0.836,0.215,0.00E+00,GZMK,8,CST7_TEM
352,1.14E-196,1.000173163,0.916,0.552,2.92E-192,CST7,8,CST7_TEM
353,1.22E-108,0.878279524,0.505,0.196,3.11E-104,SH2D1A,8,CST7_TEM
354,5.34E-136,0.866958742,0.901,0.631,1.36E-131,CD74,8,CST7_TEM
355,1.32E-123,0.753845146,0.911,0.679,3.36E-119,DUSP2,8,CST7_TEM
356,1.61E-72,0.736556627,0.342,0.123,4.13E-68,LYST,8,CST7_TEM
357,9.27E-68,0.704498533,0.678,0.44,2.37E-63,PIK3R1,8,CST7_TEM
358,6.29E-62,0.665734847,0.683,0.444,1.61E-57,CREM,8,CST7_TEM
359,4.16E-52,0.650481014,0.286,0.108,1.06E-47,HLA-DQA1,8,CST7_TEM
360,5.48E-63,0.644940282,0.548,0.28,1.40E-58,HLA-DRB1,8,CST7_TEM
361,2.01E-47,0.632163294,0.317,0.135,5.13E-43,CMC1,8,CST7_TEM
362,5.85E-56,0.628516511,0.221,0.069,1.49E-51,CD28,8,CST7_TEM
363,2.72E-103,0.620480792,0.151,0.02,6.94E-99,ENC1,8,CST7_TEM
364,2.03E-34,0.611962762,0.489,0.32,5.20E-30,TUBA4A,8,CST7_TEM
365,6.56E-23,0.611275615,0.436,0.292,1.68E-18,KLF2,8,CST7_TEM
366,2.82E-35,0.574555669,0.334,0.173,7.22E-31,TRAT1,8,CST7_TEM
367,9.88E-52,0.567500311,0.423,0.198,2.52E-47,KLRG1,8,CST7_TEM
368,4.05E-45,0.564901227,0.536,0.319,1.04E-40,ZNF331,8,CST7_TEM
369,1.79E-36,0.559410646,0.419,0.24,4.58E-32,FAM46C,8,CST7_TEM
370,4.08E-47,0.554789635,0.229,0.08,1.04E-42,DTHD1,8,CST7_TEM
371,1.08E-48,0.554643949,0.485,0.267,2.77E-44,HLA-DPB1,8,CST7_TEM
372,3.05E-36,0.553789886,0.419,0.241,7.80E-32,RNF19A,8,CST7_TEM
373,7.33E-28,0.531515105,0.381,0.223,1.87E-23,GPR183,8,CST7_TEM
374,3.14E-24,0.518568417,0.315,0.184,8.01E-20,IFNGR1,8,CST7_TEM
375,4.71E-22,0.512769995,0.25,0.134,1.20E-17,CRTAM,8,CST7_TEM
376,9.91E-18,0.503323456,0.369,0.237,2.53E-13,CCL4L2,8,CST7_TEM
377,1.66E-34,0.49776177,0.587,0.416,4.24E-30,ISG20,8,CST7_TEM
378,6.76E-27,0.49481708,0.409,0.262,1.73E-22,HLA-DPA1,8,CST7_TEM
379,1.19E-30,0.488813948,0.247,0.113,3.04E-26,HLA-DQB1,8,CST7_TEM
380,3.08E-34,0.4751343,0.601,0.428,7.86E-30,LITAF,8,CST7_TEM
381,1.38E-31,0.472352538,0.669,0.497,3.51E-27,YPEL5,8,CST7_TEM
382,7.46E-20,0.470730332,0.23,0.124,1.91E-15,ARID5B,8,CST7_TEM
383,3.91E-22,0.464178436,0.444,0.315,1.00E-17,CLDND1,8,CST7_TEM
384,2.57E-29,0.459227786,0.283,0.139,6.56E-25,HLA-DRB5,8,CST7_TEM
385,3.16E-29,0.450256797,0.192,0.078,8.09E-25,TNFSF9,8,CST7_TEM
386,2.47E-23,0.44316863,0.235,0.121,6.32E-19,CD27,8,CST7_TEM
387,4.31E-17,0.44045596,0.25,0.148,1.10E-12,HNRNPLL,8,CST7_TEM
388,9.31E-22,0.435259729,0.435,0.3,2.38E-17,TMEM2,8,CST7_TEM
389,3.01E-30,0.429756752,0.67,0.529,7.70E-26,ELF1,8,CST7_TEM
390,4.76E-31,0.426352745,0.753,0.597,1.22E-26,DNAJB1,8,CST7_TEM
391,4.56E-17,0.41644514,0.275,0.165,1.16E-12,NR4A3,8,CST7_TEM
392,5.06E-18,0.416182566,0.277,0.167,1.29E-13,PYHIN1,8,CST7_TEM
393,3.52E-40,0.4159864,0.753,0.547,9.00E-36,NR4A2,8,CST7_TEM
394,2.80E-22,0.415388752,0.261,0.138,7.16E-18,HLA-DRA,8,CST7_TEM
395,4.03E-59,0.40881145,0.938,0.775,1.03E-54,CXCR4,8,CST7_TEM
396,1.30E-88,0.405503742,0.989,0.952,3.32E-84,HLA-A,8,CST7_TEM
397,2.55E-23,0.401560401,0.173,0.075,6.52E-19,P2RY8,8,CST7_TEM
398,1.32E-20,0.389471186,0.555,0.428,3.37E-16,IRF1,8,CST7_TEM
399,8.79E-22,0.3894245,0.436,0.295,2.24E-17,ITGB2,8,CST7_TEM
400,3.07E-18,0.386022814,0.26,0.151,7.85E-14,USP36,8,CST7_TEM
401,7.02E-42,1.683987223,0.418,0.242,1.79E-37,MT1X,9,MT1X_IEL
402,1.31E-200,1.319128046,0.622,0.187,3.36E-196,LDLRAD4,9,MT1X_IEL
403,5.40E-170,1.275691854,0.262,0.035,1.38E-165,TRDV1,9,MT1X_IEL
404,1.90E-195,1.200789592,0.866,0.435,4.87E-191,CREM,9,MT1X_IEL
405,8.98E-15,1.07476997,0.176,0.094,2.29E-10,MT1E,9,MT1X_IEL
406,6.13E-131,1.057601686,0.894,0.66,1.57E-126,CRIP1,9,MT1X_IEL
407,2.99E-04,1.038577867,0.448,0.431,1.00E+00,MT2A,9,MT1X_IEL
408,0.00E+00,1.036409523,0.265,0.012,0.00E+00,GPR15,9,MT1X_IEL
409,4.43E-22,1.021821835,0.24,0.126,1.13E-17,MT1F,9,MT1X_IEL
410,8.49E-122,0.981473249,0.344,0.082,2.17E-117,KIR2DL4,9,MT1X_IEL
411,3.76E-20,0.947146518,0.668,0.568,9.61E-16,GZMA,9,MT1X_IEL
412,1.17E-150,0.88384748,0.939,0.709,3.00E-146,CD7,9,MT1X_IEL
413,5.42E-50,0.83992796,0.355,0.162,1.39E-45,ISG15,9,MT1X_IEL
414,5.96E-70,0.812656131,0.578,0.32,1.52E-65,FAM177A1,9,MT1X_IEL
415,1.05E-100,0.810169276,0.262,0.058,2.69E-96,SLC16A3,9,MT1X_IEL
416,8.93E-129,0.776977401,0.16,0.017,2.28E-124,HES4,9,MT1X_IEL
417,7.50E-62,0.767157521,0.284,0.094,1.92E-57,KLRC2,9,MT1X_IEL
418,1.14E-54,0.766797775,0.402,0.19,2.91E-50,SLA2,9,MT1X_IEL
419,1.50E-106,0.755468142,0.163,0.021,3.82E-102,GEM,9,MT1X_IEL
420,7.08E-76,0.730522897,0.742,0.494,1.81E-71,YPEL5,9,MT1X_IEL
421,3.52E-50,0.717780508,0.52,0.305,9.00E-46,SH2D2A,9,MT1X_IEL
422,1.79E-51,0.710099752,0.63,0.417,4.58E-47,MYADM,9,MT1X_IEL
423,3.96E-49,0.70361825,0.245,0.085,1.01E-44,HP¦Ã¦Ä,9,MT1X_IEL
424,4.19E-50,0.703121759,0.574,0.35,1.07E-45,NR3C1,9,MT1X_IEL
425,1.19E-62,0.684644201,0.974,0.965,3.03E-58,FTH1,9,MT1X_IEL
426,5.31E-72,0.682915945,0.234,0.06,1.36E-67,ENTPD1,9,MT1X_IEL
427,5.55E-55,0.66992512,0.176,0.045,1.42E-50,PLPP1,9,MT1X_IEL
428,1.31E-39,0.666830863,0.336,0.155,3.35E-35,LMNA,9,MT1X_IEL
429,5.30E-46,0.653931625,0.271,0.102,1.35E-41,SPRY1,9,MT1X_IEL
430,1.93E-43,0.631615538,0.606,0.416,4.93E-39,ISG20,9,MT1X_IEL
431,2.32E-29,0.616783887,0.381,0.226,5.92E-25,PDCL3,9,MT1X_IEL
432,3.69E-21,0.614115272,0.37,0.241,9.43E-17,HSPH1,9,MT1X_IEL
433,1.30E-36,0.612235925,0.239,0.098,3.32E-32,JCHAIN,9,MT1X_IEL
434,3.11E-29,0.610275676,0.579,0.438,7.94E-25,HSPE1,9,MT1X_IEL
435,1.89E-36,0.608041944,0.253,0.104,4.84E-32,KLRC3,9,MT1X_IEL
436,3.18E-42,0.601336423,0.594,0.406,8.13E-38,GPR65,9,MT1X_IEL
437,2.48E-61,0.594202315,0.159,0.034,6.34E-57,LAYN,9,MT1X_IEL
438,1.62E-38,0.591850388,0.186,0.061,4.14E-34,TRDC,9,MT1X_IEL
439,1.22E-38,0.590187346,0.342,0.159,3.11E-34,PHLDA1,9,MT1X_IEL
440,3.29E-30,0.588375156,0.245,0.107,8.42E-26,CEBPD,9,MT1X_IEL
441,9.07E-32,0.579572188,0.345,0.184,2.32E-27,FOSL2,9,MT1X_IEL
442,1.16E-49,0.577529852,0.67,0.457,2.97E-45,SYTL3,9,MT1X_IEL
443,9.19E-44,0.576265603,0.163,0.046,2.35E-39,PDE4A,9,MT1X_IEL
444,1.60E-40,0.569673435,0.721,0.568,4.09E-36,TAGLN2,9,MT1X_IEL
445,4.06E-46,0.563885584,0.188,0.056,1.04E-41,RP11-277P12.6,9,MT1X_IEL
446,1.18E-24,0.551891486,0.422,0.275,3.03E-20,GSPT1,9,MT1X_IEL
447,5.27E-59,0.547944667,0.163,0.036,1.35E-54,ATP8B4,9,MT1X_IEL
448,2.06E-25,0.547366487,0.377,0.234,5.25E-21,VPS37B,9,MT1X_IEL
449,1.43E-36,0.546092293,0.547,0.365,3.65E-32,REL,9,MT1X_IEL
450,3.71E-32,0.541409894,0.408,0.237,9.47E-28,PDE4D,9,MT1X_IEL
451,0.00E+00,1.407711513,0.64,0.065,0.00E+00,LEF1,10,LEF1_TCM
452,0,1.274447288,0.59,0.08,0,SELL,10,LEF1_TCM
453,3.33E-218,1.015243852,0.535,0.115,8.51E-214,TCF7,10,LEF1_TCM
454,1.74E-180,0.946897805,0.774,0.275,4.45E-176,KLF2,10,LEF1_TCM
455,6.12E-247,0.919180567,0.382,0.051,1.56E-242,NELL2,10,LEF1_TCM
456,4.73E-248,0.909914487,0.412,0.058,1.21E-243,CCR7,10,LEF1_TCM
457,1.53E-289,0.784938968,0.999,0.98,3.91E-285,RPS13,10,LEF1_TCM
458,2.00E-88,0.773583995,0.465,0.172,5.10E-84,NOSIP,10,LEF1_TCM
459,1.58E-295,0.765858176,1,0.979,4.04E-291,RPS3A,10,LEF1_TCM
460,1.91E-99,0.729783155,0.274,0.06,4.87E-95,MYC,10,LEF1_TCM
461,1.25E-100,0.727906428,0.783,0.406,3.20E-96,CD55,10,LEF1_TCM
462,2.17E-165,0.701405575,0.978,0.836,5.54E-161,EEF1B2,10,LEF1_TCM
463,2.24E-86,0.684348878,0.73,0.392,5.72E-82,LBH,10,LEF1_TCM
464,1.15E-210,0.684047513,0.252,0.025,2.93E-206,ACTN1,10,LEF1_TCM
465,6.93E-261,0.655643843,1,0.984,1.77E-256,RPS23,10,LEF1_TCM
466,3.34E-199,0.646679911,0.996,0.941,8.53E-195,RPL5,10,LEF1_TCM
467,3.79E-189,0.643891823,0.994,0.929,9.69E-185,RPL22,10,LEF1_TCM
468,3.22E-86,0.64369362,0.77,0.45,8.22E-82,LDHB,10,LEF1_TCM
469,1.20E-127,0.642725064,0.28,0.051,3.07E-123,BACH2,10,LEF1_TCM
470,1.65E-283,0.635145492,1,0.992,4.21E-279,RPL32,10,LEF1_TCM
471,3.99E-92,0.633738975,0.323,0.085,1.02E-87,AIF1,10,LEF1_TCM
472,6.13E-80,0.632066356,0.459,0.169,1.57E-75,SATB1,10,LEF1_TCM
473,3.59E-199,0.624949799,0.996,0.961,9.18E-195,RPS5,10,LEF1_TCM
474,2.14E-141,0.610115544,0.214,0.027,5.47E-137,TRABD2A,10,LEF1_TCM
475,6.17E-69,0.604449517,0.223,0.054,1.58E-64,S100B,10,LEF1_TCM
476,1.61E-268,0.602374427,1,0.994,4.10E-264,RPL30,10,LEF1_TCM
477,3.55E-100,0.598975423,0.938,0.732,9.08E-96,NPM1,10,LEF1_TCM
478,2.35E-68,0.594424469,0.381,0.136,6.00E-64,FAM65B,10,LEF1_TCM
479,9.14E-143,0.593109408,0.211,0.026,2.34E-138,NGFRAP1,10,LEF1_TCM
480,2.56E-238,0.587715218,1,0.99,6.54E-234,RPL11,10,LEF1_TCM
481,2.34E-162,0.58583857,0.993,0.92,5.97E-158,RPL9,10,LEF1_TCM
482,5.21E-61,0.585120388,0.437,0.181,1.33E-56,FOXP1,10,LEF1_TCM
483,1.05E-62,0.578694891,0.516,0.236,2.67E-58,ATM,10,LEF1_TCM
484,8.08E-228,0.576763452,1,0.992,2.06E-223,RPS8,10,LEF1_TCM
485,1.42E-62,0.574415035,0.301,0.098,3.64E-58,MSL3,10,LEF1_TCM
486,1.58E-209,0.569902813,0.999,0.986,4.04E-205,RPS24,10,LEF1_TCM
487,2.00E-269,0.569287044,1,0.997,5.12E-265,RPS12,10,LEF1_TCM
488,2.00E-221,0.565495003,1,0.994,5.10E-217,RPL34,10,LEF1_TCM
489,1.31E-247,0.562140848,1,0.995,3.35E-243,RPL13,10,LEF1_TCM
490,8.90E-53,0.559434659,0.4,0.169,2.27E-48,FCMR,10,LEF1_TCM
491,7.62E-196,0.557986931,1,0.978,1.95E-191,RPS21,10,LEF1_TCM
492,2.13E-167,0.556602285,0.181,0.015,5.44E-163,SCML1,10,LEF1_TCM
493,1.32E-93,0.554689232,0.942,0.744,3.36E-89,RPL7,10,LEF1_TCM
494,1.25E-216,0.554439182,1,0.985,3.20E-212,RPS14,10,LEF1_TCM
495,1.80E-59,0.552799525,0.394,0.155,4.60E-55,CCDC109B,10,LEF1_TCM
496,4.77E-57,0.551143913,0.773,0.517,1.22E-52,C12orf57,10,LEF1_TCM
497,8.90E-174,0.550626518,1,0.973,2.27E-169,RPS6,10,LEF1_TCM
498,1.69E-94,0.550190608,0.948,0.767,4.31E-90,PABPC1,10,LEF1_TCM
499,7.19E-56,0.547358788,0.754,0.49,1.84E-51,ZFAS1,10,LEF1_TCM
500,4.48E-177,0.546624858,0.999,0.968,1.14E-172,RPL36,10,LEF1_TCM
501,1.69E-202,1.432801044,0.238,0.022,4.32E-198,TRBV2,11,TRBV2_TRM
502,7.47E-141,1.256719243,0.468,0.124,1.91E-136,ATF3,11,TRBV2_TRM
503,2.04E-201,1.167530595,0.916,0.413,5.22E-197,RGS1,11,TRBV2_TRM
504,2.35E-138,0.933958019,0.941,0.582,6.00E-134,IL7R,11,TRBV2_TRM
505,1.64E-111,0.93367082,0.913,0.63,4.20E-107,TNFAIP3,11,TRBV2_TRM
506,4.31E-305,0.930862073,0.2,0.007,1.10E-300,TRAV35,11,TRBV2_TRM
507,5.04E-134,0.920271456,0.959,0.695,1.29E-129,KLF6,11,TRBV2_TRM
508,4.00E-104,0.889092465,0.932,0.611,1.02E-99,FOS,11,TRBV2_TRM
509,4.73E-156,0.863732085,0.343,0.061,1.21E-151,MSMO1,11,TRBV2_TRM
510,2.75E-96,0.83326407,0.714,0.341,7.02E-92,LINC-PINT,11,TRBV2_TRM
511,1.30E-95,0.815190178,0.533,0.193,3.31E-91,LDLRAD4,11,TRBV2_TRM
512,6.07E-265,0.814366271,0.297,0.025,1.55E-260,GPR34,11,TRBV2_TRM
513,2.79E-113,0.80413844,0.522,0.164,7.14E-109,ITGA1,11,TRBV2_TRM
514,4.18E-71,0.795644762,0.338,0.106,1.07E-66,HMGCS1,11,TRBV2_TRM
515,1.42E-97,0.779359062,0.767,0.39,3.62E-93,PTGER4,11,TRBV2_TRM
516,3.85E-137,0.771014215,0.292,0.05,9.84E-133,CD248,11,TRBV2_TRM
517,2.02E-92,0.758176518,0.454,0.152,5.15E-88,FDFT1,11,TRBV2_TRM
518,1.02E-124,0.75552022,0.981,0.796,2.60E-120,TSC22D3,11,TRBV2_TRM
519,4.36E-75,0.74089366,0.957,0.778,1.11E-70,CD69,11,TRBV2_TRM
520,3.78E-131,0.736270445,0.243,0.035,9.67E-127,CST3,11,TRBV2_TRM
521,2.15E-134,0.719589533,0.31,0.056,5.49E-130,LDLR,11,TRBV2_TRM
522,4.78E-87,0.694933461,0.952,0.7,1.22E-82,DUSP1,11,TRBV2_TRM
523,7.72E-89,0.678043714,0.324,0.084,1.97E-84,CD160,11,TRBV2_TRM
524,0.00E+00,0.673085668,0.197,0.002,0.00E+00,CCR9,11,TRBV2_TRM
525,2.87E-77,0.664661112,0.603,0.267,7.32E-73,OXNAD1,11,TRBV2_TRM
526,5.52E-61,0.651242701,0.248,0.069,1.41E-56,CYB5A,11,TRBV2_TRM
527,1.06E-31,0.642457612,0.767,0.564,2.70E-27,JUN,11,TRBV2_TRM
528,4.78E-75,0.618367563,0.373,0.119,1.22E-70,ARHGEF7,11,TRBV2_TRM
529,4.65E-69,0.610046444,0.424,0.155,1.19E-64,ABI3,11,TRBV2_TRM
530,1.70E-110,0.602469326,0.998,0.92,4.33E-106,BTG1,11,TRBV2_TRM
531,1.26E-62,0.593916634,0.751,0.445,3.23E-58,CD8B,11,TRBV2_TRM
532,1.69E-79,0.591310204,0.886,0.564,4.31E-75,COTL1,11,TRBV2_TRM
533,8.88E-39,0.584272527,0.43,0.211,2.27E-34,NFKBIZ,11,TRBV2_TRM
534,3.70E-54,0.570765307,0.66,0.369,9.44E-50,CKLF,11,TRBV2_TRM
535,8.40E-98,0.563271654,0.229,0.041,2.15E-93,SQLE,11,TRBV2_TRM
536,5.22E-50,0.555032315,0.763,0.494,1.33E-45,YPEL5,11,TRBV2_TRM
537,2.60E-16,0.550314579,0.106,0.04,6.64E-12,TRAV12-2,11,TRBV2_TRM
538,2.05E-59,0.53668904,0.53,0.227,5.24E-55,CAPG,11,TRBV2_TRM
539,1.97E-38,0.515863685,0.514,0.273,5.04E-34,SOCS1,11,TRBV2_TRM
540,1.37E-46,0.514090912,0.883,0.668,3.50E-42,TXNIP,11,TRBV2_TRM
541,3.05E-56,0.512846547,0.502,0.216,7.80E-52,ITGAE,11,TRBV2_TRM
542,8.66E-49,0.509663397,0.238,0.074,2.21E-44,CBR1,11,TRBV2_TRM
543,1.71E-57,0.506201199,0.371,0.134,4.37E-53,TMI¦Ã¦Ä2,11,TRBV2_TRM
544,2.74E-55,0.485821637,0.814,0.479,7.00E-51,KLRB1,11,TRBV2_TRM
545,6.32E-62,0.483083277,0.99,0.964,1.62E-57,FTH1,11,TRBV2_TRM
546,1.26E-35,0.471705962,0.265,0.103,3.23E-31,SPRY1,11,TRBV2_TRM
547,1.26E-31,0.464636747,0.475,0.258,3.23E-27,INSIG1,11,TRBV2_TRM
548,1.83E-51,0.463411862,0.203,0.054,4.68E-47,CYSTM1,11,TRBV2_TRM
549,4.28E-39,0.456300231,0.237,0.083,1.09E-34,SESN1,11,TRBV2_TRM
550,6.28E-48,0.453070667,0.876,0.615,1.61E-43,CD8A,11,TRBV2_TRM
551,0.00E+00,1.468809843,0.692,0.086,0.00E+00,SELL,12,KLF2_TN
552,4.68E-205,1.318973467,0.882,0.281,1.20E-200,KLF2,12,KLF2_TN
553,0.00E+00,1.294148719,0.639,0.075,0.00E+00,LEF1,12,KLF2_TN
554,2.89E-248,1.139983919,0.492,0.062,7.40E-244,CCR7,12,KLF2_TN
555,2.52E-104,0.850149443,0.481,0.124,6.45E-100,TCF7,12,KLF2_TN
556,3.35E-83,0.807263571,0.819,0.412,8.56E-79,CD55,12,KLF2_TN
557,3.15E-81,0.805302899,0.524,0.175,8.05E-77,NOSIP,12,KLF2_TN
558,1.25E-55,0.721197828,0.478,0.184,3.19E-51,ABLIM1,12,KLF2_TN
559,1.42E-198,0.691198199,1,0.992,3.62E-194,RPS8,12,KLF2_TN
560,6.38E-166,0.651916642,1,0.979,1.63E-161,RPS3A,12,KLF2_TN
561,2.61E-101,0.649707656,0.993,0.838,6.66E-97,EEF1B2,12,KLF2_TN
562,3.46E-58,0.649265974,0.789,0.455,8.85E-54,LDHB,12,KLF2_TN
563,9.48E-155,0.639754382,1,0.98,2.42E-150,RPS13,12,KLF2_TN
564,9.92E-71,0.63737093,0.692,0.288,2.53E-66,LTB,12,KLF2_TN
565,7.61E-126,0.635969096,0.998,0.942,1.95E-121,RPL5,12,KLF2_TN
566,1.60E-64,0.633188214,0.333,0.089,4.08E-60,AIF1,12,KLF2_TN
567,3.98E-114,0.629453529,0.231,0.029,1.02E-109,NGFRAP1,12,KLF2_TN
568,4.29E-102,0.621021713,0.213,0.027,1.10E-97,MAL,12,KLF2_TN
569,1.91E-139,0.618550413,1,0.961,4.87E-135,RPS5,12,KLF2_TN
570,1.23E-171,0.615586617,1,0.994,3.14E-167,RPL34,12,KLF2_TN
571,5.16E-180,0.614310954,1,0.992,1.32E-175,RPL32,12,KLF2_TN
572,4.10E-72,0.605787381,0.281,0.061,1.05E-67,NELL2,12,KLF2_TN
573,1.31E-32,0.590495338,0.197,0.058,3.35E-28,S100B,12,KLF2_TN
574,5.68E-116,0.585172346,0.998,0.93,1.45E-111,RPL22,12,KLF2_TN
575,3.68E-87,0.578085892,0.209,0.03,9.41E-83,ACTN1,12,KLF2_TN
576,5.33E-51,0.57512459,0.324,0.098,1.36E-46,KLF3,12,KLF2_TN
577,1.64E-35,0.568481973,0.546,0.285,4.19E-31,NDFIP1,12,KLF2_TN
578,2.11E-146,0.565380679,1,0.988,5.39E-142,RPL18A,12,KLF2_TN
579,5.73E-62,0.563411549,0.93,0.771,1.46E-57,PABPC1,12,KLF2_TN
580,2.36E-141,0.560022525,1,0.984,6.04E-137,RPS23,12,KLF2_TN
581,1.12E-40,0.558326756,0.766,0.505,2.85E-36,EIF3E,12,KLF2_TN
582,1.18E-118,0.553226047,1,0.969,3.02E-114,RPL36,12,KLF2_TN
583,2.36E-38,0.552947211,0.365,0.141,6.04E-34,FAM65B,12,KLF2_TN
584,6.32E-124,0.551844556,0.998,0.977,1.62E-119,RPL18,12,KLF2_TN
585,7.40E-56,0.550289098,0.24,0.056,1.89E-51,BACH2,12,KLF2_TN
586,2.19E-32,0.54731868,0.404,0.179,5.59E-28,TOB1,12,KLF2_TN
587,4.15E-146,0.544762673,1,0.99,1.06E-141,RPL11,12,KLF2_TN
588,1.37E-61,0.544673178,0.955,0.747,3.51E-57,RPL7,12,KLF2_TN
589,3.12E-122,0.54326624,0.998,0.972,7.97E-118,RPL29,12,KLF2_TN
590,2.70E-150,0.539023906,1,0.994,6.89E-146,RPL30,12,KLF2_TN
591,1.59E-172,0.538673195,1,0.997,4.06E-168,RPS12,12,KLF2_TN
592,5.37E-35,0.526334796,0.304,0.111,1.37E-30,PLAC8,12,KLF2_TN
593,6.74E-118,0.525858352,1,0.976,1.72E-113,RPL35A,12,KLF2_TN
594,5.33E-133,0.516605398,1,0.986,1.36E-128,RPL12,12,KLF2_TN
595,4.48E-143,0.513471112,1,0.995,1.14E-138,RPL13,12,KLF2_TN
596,1.10E-115,0.513122398,1,0.987,2.82E-111,RPS24,12,KLF2_TN
597,3.04E-130,0.511716061,1,0.986,7.76E-126,RPS14,12,KLF2_TN
598,3.85E-146,0.511593939,1,0.993,9.83E-142,RPS28,12,KLF2_TN
599,7.81E-36,0.511500009,0.429,0.186,2.00E-31,FOXP1,12,KLF2_TN
600,2.71E-25,0.509285893,0.494,0.278,6.93E-21,DCXR,12,KLF2_TN
601,1.69E-176,1.630268571,0.811,0.284,4.32E-172,LTB,13,LTB_MAIT
602,5.37E-169,1.297027939,0.462,0.082,1.37E-164,NCR3,13,LTB_MAIT
603,0.00E+00,1.246263086,0.421,0.01,0.00E+00,SLC4A10,13,LTB_MAIT
604,5.33E-28,1.090765305,0.144,0.038,1.36E-23,CCL20,13,LTB_MAIT
605,7.86E-84,0.95563192,0.879,0.577,2.01E-79,NFKBIA,13,LTB_MAIT
606,7.67E-76,0.953821816,0.558,0.21,1.96E-71,NFKBIZ,13,LTB_MAIT
607,3.60E-67,0.915590492,0.79,0.485,9.20E-63,KLRB1,13,LTB_MAIT
608,2.81E-80,0.854612543,0.396,0.104,7.18E-76,CEBPD,13,LTB_MAIT
609,2.61E-120,0.795477137,0.255,0.033,6.67E-116,TRAV1-2,13,LTB_MAIT
610,3.94E-99,0.707211229,0.235,0.034,1.01E-94,CCR6,13,LTB_MAIT
611,1.84E-45,0.706596853,0.376,0.14,4.70E-41,NFKB1,13,LTB_MAIT
612,4.98E-46,0.702623179,0.706,0.406,1.27E-41,GPR65,13,LTB_MAIT
613,5.09E-23,0.655176802,0.173,0.059,1.30E-18,S100B,13,LTB_MAIT
614,2.23E-65,0.644166345,0.938,0.587,5.70E-61,IL7R,13,LTB_MAIT
615,3.43E-49,0.63551286,0.51,0.21,8.75E-45,TTC39C,13,LTB_MAIT
616,4.71E-20,0.629917266,0.241,0.106,1.20E-15,BCL2A1,13,LTB_MAIT
617,1.65E-35,0.609810128,0.487,0.236,4.21E-31,NFE2L2,13,LTB_MAIT
618,5.89E-46,0.600446806,0.285,0.085,1.51E-41,CD83,13,LTB_MAIT
619,4.54E-82,0.595875427,0.21,0.032,1.16E-77,CD40LG,13,LTB_MAIT
620,9.32E-34,0.594949958,0.831,0.637,2.38E-29,TNFAIP3,13,LTB_MAIT
621,4.43E-52,0.589219293,0.237,0.057,1.13E-47,ICAM1,13,LTB_MAIT
622,2.33E-55,0.580232519,0.317,0.09,5.95E-51,AQP3,13,LTB_MAIT
623,1.76E-65,0.572827645,0.214,0.041,4.51E-61,TNFRSF25,13,LTB_MAIT
624,1.69E-33,0.558154172,0.449,0.211,4.31E-29,STAT1,13,LTB_MAIT
625,1.44E-39,0.522336359,0.478,0.202,3.68E-35,KLRG1,13,LTB_MAIT
626,4.47E-29,0.521898035,0.415,0.192,1.14E-24,BIRC3,13,LTB_MAIT
627,5.93E-48,0.521228113,0.269,0.074,1.51E-43,SLAMF1,13,LTB_MAIT
628,2.40E-33,0.52079957,0.351,0.144,6.14E-29,BHLHE40,13,LTB_MAIT
629,3.24E-30,0.506115226,0.54,0.291,8.27E-26,SPOCK2,13,LTB_MAIT
630,8.92E-33,0.489626077,0.271,0.095,2.28E-28,NFKB2,13,LTB_MAIT
631,4.85E-63,0.488792317,0.194,0.035,1.24E-58,DPP4,13,LTB_MAIT
632,1.97E-80,0.485054724,0.116,0.01,5.04E-76,FEZ1,13,LTB_MAIT
633,1.83E-22,0.478124372,0.638,0.428,4.66E-18,IRF1,13,LTB_MAIT
634,7.11E-67,0.476414798,0.175,0.027,1.82E-62,LST1,13,LTB_MAIT
635,1.34E-26,0.471803113,0.367,0.167,3.43E-22,BCL3,13,LTB_MAIT
636,2.17E-48,0.470654727,0.968,0.805,5.55E-44,S100A4,13,LTB_MAIT
637,1.49E-140,0.46383111,0.125,0.006,3.80E-136,IL4I1,13,LTB_MAIT
638,1.11E-30,0.453482983,0.103,0.02,2.83E-26,TRBV6-1,13,LTB_MAIT
639,1.22E-23,0.444424012,0.349,0.162,3.11E-19,PHLDA1,13,LTB_MAIT
640,1.29E-26,0.426780653,0.235,0.086,3.30E-22,NINJ1,13,LTB_MAIT
641,3.27E-26,0.42459427,0.13,0.034,8.35E-22,LTA,13,LTB_MAIT
642,8.67E-27,0.421620958,0.157,0.045,2.22E-22,S1PR5,13,LTB_MAIT
643,4.34E-23,0.420277111,0.301,0.132,1.11E-18,RELB,13,LTB_MAIT
644,3.05E-28,0.419168175,0.405,0.184,7.79E-24,IFNGR1,13,LTB_MAIT
645,2.33E-20,0.41747002,0.907,0.782,5.95E-16,CD69,13,LTB_MAIT
646,2.04E-100,0.415518374,0.128,0.009,5.22E-96,IL23R,13,LTB_MAIT
647,9.26E-21,0.414999075,0.36,0.178,2.37E-16,SATB1,13,LTB_MAIT
648,3.21E-19,0.407382538,0.369,0.193,8.19E-15,ZC3H12A,13,LTB_MAIT
649,1.07E-23,0.405308085,0.419,0.21,2.72E-19,MYBL1,13,LTB_MAIT
650,5.83E-41,0.393562655,0.558,0.24,1.49E-36,GZMK,13,LTB_MAIT
